age,d13c,d18o
25.603,0.815,1.473
25.607,0.963,1.786
25.614,0.928,1.781
25.621,0.578,1.763
25.627,0.835,1.440
25.632,0.563,1.603
25.634,0.555,1.436
25.636,0.623,1.487
25.640,0.450,1.362
25.645,0.659,1.493
25.650,0.797,1.730
25.654,0.848,1.661
25.672,0.850,1.459
25.675,0.554,1.552
25.677,0.568,1.365
25.679,0.495,1.436
25.681,0.459,1.359
25.683,0.425,1.403
25.685,0.471,1.239
25.687,0.870,1.840
25.689,0.957,1.405
25.692,0.188,1.428
25.696,0.749,1.944
25.703,0.645,1.811
25.707,0.534,1.207
25.708,0.397,1.581
25.710,0.713,1.690
25.712,0.324,1.589
25.716,0.703,1.578
25.717,0.382,1.261
25.718,0.340,1.750
25.720,0.741,1.783
25.722,0.543,1.545
25.723,0.524,1.326
25.725,0.583,1.309
25.726,0.617,1.300
25.728,0.703,1.456
25.729,0.452,1.527
25.731,0.508,1.396
25.732,0.417,1.282
25.734,0.450,1.610
25.735,-0.150,1.460
25.735,0.319,1.813
25.737,0.522,1.686
25.740,0.749,1.622
25.742,0.998,1.625
25.744,0.697,1.642
25.747,0.614,1.524
25.749,0.983,1.367
25.750,0.586,1.593
25.756,0.377,1.459
25.761,0.800,1.590
25.762,0.694,1.807
25.763,1.001,1.636
25.764,0.375,1.461
25.766,1.163,1.806
25.767,0.780,
25.768,0.369,1.348
25.771,0.731,1.727
25.773,0.489,1.554
25.777,0.856,1.664
25.781,0.777,1.566
25.782,0.886,1.585
25.782,0.886,1.585
25.784,0.935,1.665
25.789,0.549,1.505
25.792,0.912,1.646
25.796,0.596,1.650
25.801,0.367,1.709
25.803,,1.770
25.803,0.444,1.641
25.811,1.060,1.827
25.820,0.817,1.725
25.824,0.808,1.554
25.829,0.775,1.868
25.833,0.836,1.589
25.836,0.789,1.684
25.842,0.434,1.286
25.845,0.545,1.469
25.852,0.878,1.669
25.856,0.820,1.830
25.860,0.908,1.747
25.868,0.341,1.700
25.876,1.084,1.829
25.885,0.878,1.926
25.893,1.010,1.686
25.897,0.858,
25.900,1.101,1.749
25.907,0.985,1.602
25.914,0.823,1.671
25.916,0.615,1.443
25.919,0.734,1.612
25.923,0.600,1.820
25.924,0.640,1.680
25.925,0.736,1.862
25.933,0.938,1.889
25.941,0.628,1.833
25.945,0.898,1.706
25.953,0.737,1.686
25.954,0.977,1.518
25.955,0.791,1.512
25.959,0.740,1.791
25.966,1.013,1.991
25.969,1.070,1.734
25.974,0.792,1.830
25.975,0.713,2.336
25.978,1.077,1.877
25.983,1.141,1.712
25.986,0.877,1.627
25.991,0.669,1.955
25.997,0.619,1.552
26.002,0.890,1.695
26.003,0.859,1.989
26.009,0.558,1.665
26.014,0.550,1.765
26.016,1.019,1.975
26.018,0.618,1.851
26.019,0.595,2.054
26.019,0.998,1.884
26.021,1.069,1.770
26.026,0.860,1.597
26.028,0.426,1.335
26.029,0.587,1.339
26.030,0.775,1.770
26.031,0.762,1.397
26.032,0.309,1.523
26.034,0.463,1.710
26.036,0.307,1.628
26.037,0.832,1.398
26.038,0.765,1.434
