"age","d13c","auth"
14134.9,1.74,"Tian"
14144.3,1.533,"Tian"
14149.8,1.379,"Tian"
14159,1.629,"Tian"
14177.5,0.869,"Tian"
14186.7,1.559,"Tian"
14192.3,1.508,"Tian"
14197.4,1.516,"Tian"
14202.4,1.66,"Tian"
14207.5,1.242,"Tian"
14212.6,1.447,"Tian"
14217.7,1.264,"Tian"
14222.7,1.586,"Tian"
14227.8,1.205,"Tian"
14231.5,1.183,"Tian"
14235,1.485,"Tian"
14238.6,1.766,"Tian"
14242.1,1.059,"Tian"
14245,0.964,"Tian"
14247.8,1.125,"Tian"
14250.6,0.743,"Tian"
14253.5,0.821,"Tian"
14256.3,0.733,"Tian"
14259.2,0.623,"Tian"
14262.4,0.655,"Tian"
14265.2,1.321,"Tian"
14268,1.183,"Tian"
14272,1.03,"Tian"
14276.1,1.34,"Tian"
14280.3,1.248,"Tian"
14284.5,1.11,"Tian"
14288.7,1.223,"Tian"
14292.8,0.699,"Tian"
14297,1.042,"Tian"
14301.2,0.927,"Tian"
14305.3,1.183,"Tian"
14309.5,1.059,"Tian"
14312.8,1.115,"Tian"
14316,1.035,"Tian"
14319.2,1.132,"Tian"
14322.4,0.488,"Tian"
14325.7,1.013,"Tian"
14328.9,0.959,"Tian"
14331.3,1.476,"Tian"
14334.5,1.214,"Tian"
14337.7,1.236,"Tian"
14341,1.024,"Tian"
14344.2,0.997,"Tian"
14347.4,1.097,"Tian"
14353,1.156,"Tian"
14358.7,0.954,"Tian"
14364.4,0.774,"Tian"
14370.2,1.178,"Tian"
14375.9,1.051,"Tian"
14381.6,1.32,"Tian"
14387.3,1.097,"Tian"
14390.5,1.254,"Tian"
14393.8,1.116,"Tian"
14397,1.163,"Tian"
14400.2,1.212,"Tian"
14403.5,1.038,"Tian"
14406.7,1.053,"Tian"
14409.2,0.84,"Tian"
14412.4,1.089,"Tian"
14415.6,0.639,"Tian"
14422.1,0.925,"Tian"
14428.6,1.24,"Tian"
14431.5,1.538,"Tian"
14434.3,1.173,"Tian"
14437.2,1.079,"Tian"
14440.1,1.045,"Tian"
14443,0.973,"Tian"
14445.9,1.053,"Tian"
14451.6,0.877,"Tian"
14454.5,1.021,"Tian"
14457.4,1.022,"Tian"
14460.3,1.209,"Tian"
14463.2,1.032,"Tian"
14465.3,1.335,"Tian"
14468.4,1.339,"Tian"
14473.1,1.052,"Tian"
14477.7,1.187,"Tian"
14482.4,1.278,"Tian"
14487,1.261,"Tian"
14491.7,1.262,"Tian"
14506.9,1.271,"Tian"
14513.6,1.189,"Tian"
14520.2,1.355,"Tian"
14526.9,1.462,"Tian"
14533.5,1.507,"Tian"
14540.2,1.398,"Tian"
14546.9,1.478,"Tian"
14550.4,1.416,"Tian"
14553.8,1.367,"Tian"
14557.2,1.538,"Tian"
14560.7,1.401,"Tian"
14564.1,1.379,"Tian"
14567.6,1.193,"Tian"
14571,1.462,"Tian"
14574.5,1.464,"Tian"
14577.9,1.345,"Tian"
14581.4,1.38,"Tian"
14584.8,1.407,"Tian"
14588.3,1.266,"Tian"
14592.4,1.221,"Tian"
14596.6,1.337,"Tian"
14600.8,1.019,"Tian"
14605,1.268,"Tian"
14609.1,1.392,"Tian"
14613.3,1.299,"Tian"
14617.5,1.241,"Tian"
14621.7,1.39,"Tian"
14625.8,1.138,"Tian"
14634,1.554,"Tian"
14642.4,1.606,"Tian"
14650.8,1.447,"Tian"
14659.2,1.637,"Tian"
14667.4,1.521,"Tian"
14672,1.405,"Tian"
14676.6,1.427,"Tian"
14677.5,1.401,"Tian"
14681.1,1.183,"Tian"
14684.8,1.494,"Tian"
14688.4,1.429,"Tian"
14692.1,1.598,"Tian"
14695.7,1.573,"Tian"
14699.4,1.546,"Tian"
14703,1.326,"Tian"
14706.7,1.289,"Tian"
14710.2,1.417,"Tian"
14713.8,1.326,"Tian"
14717.3,1.322,"Tian"
14720.8,1.05,"Tian"
14724.4,1.334,"Tian"
14727.9,1.362,"Tian"
14837,1.245,"Holbourn"
14842,1.272,"Holbourn"
14847,1.427,"Holbourn"
14852,1.46,"Holbourn"
14856,1.514,"Holbourn"
14861,1.59,"Holbourn"
14866,1.367,"Holbourn"
14871,1.193,"Holbourn"
14876,1.156,"Holbourn"
14881,1.112,"Holbourn"
14886,1.138,"Holbourn"
14891,1.249,"Holbourn"
14895,1.378,"Holbourn"
14900,1.327,"Holbourn"
14905,1.218,"Holbourn"
14910,1.437,"Holbourn"
14915,1.403,"Holbourn"
14920,1.435,"Holbourn"
14925,1.255,"Holbourn"
14930,1.41,"Holbourn"
14934,1.212,"Holbourn"
14939,0.975,"Holbourn"
14944,1.221,"Holbourn"
14949,1.16,"Holbourn"
14954,1.324,"Holbourn"
14959,1.468,"Holbourn"
14964,1.143,"Holbourn"
14968,1.164,"Holbourn"
14973,1.404,"Holbourn"
14978,1.647,"Holbourn"
14983,1.414,"Holbourn"
14988,1.399,"Holbourn"
14993,1.411,"Holbourn"
14998,1.467,"Holbourn"
15003,1.476,"Holbourn"
15007,1.434,"Holbourn"
15012,1.588,"Holbourn"
15017,1.59,"Holbourn"
15022,1.496,"Holbourn"
15027,1.29,"Holbourn"
15032,1.242,"Holbourn"
15037,1.454,"Holbourn"
15042,1.438,"Holbourn"
15046,1.427,"Holbourn"
15051,1.303,"Holbourn"
15056,1.588,"Holbourn"
15061,1.643,"Holbourn"
15066,1.692,"Holbourn"
15071,1.7,"Holbourn"
15077,1.425,"Holbourn"
15081,1.432,"Holbourn"
15087,1.448,"Holbourn"
15093,1.573,"Holbourn"
15100,1.677,"Holbourn"
15106,1.591,"Holbourn"
15113,1.584,"Holbourn"
15119,1.339,"Holbourn"
15125,1.373,"Holbourn"
15131,1.515,"Holbourn"
15138,1.346,"Holbourn"
15144,1.234,"Holbourn"
15150,1.318,"Holbourn"
15156,1.25,"Holbourn"
15162,1.177,"Holbourn"
15169,1.283,"Holbourn"
15175,1.138,"Holbourn"
15181,1.101,"Holbourn"
15187,1.443,"Holbourn"
15193,0.85,"Holbourn"
15198,1.191,"Holbourn"
15204,1.294,"Holbourn"
15208,1.087,"Holbourn"
15214,1.354,"Holbourn"
15219,1.107,"Holbourn"
15224,1.093,"Holbourn"
15229,1.504,"Holbourn"
15233,1.18,"Holbourn"
15240,0.913,"Holbourn"
15247,1.276,"Holbourn"
15254,1.475,"Holbourn"
15261,1.543,"Holbourn"
15268,1.301,"Holbourn"
15275,1.338,"Holbourn"
15279,1.33,"Holbourn"
15286,1.28,"Holbourn"
15290,1.15,"Holbourn"
15294,1.34,"Holbourn"
15298,1.33,"Holbourn"
15302,1.32,"Holbourn"
15306,1.23,"Holbourn"
15309,1.14,"Holbourn"
15313,1.35,"Holbourn"
15317,1.48,"Holbourn"
15321,1.43,"Holbourn"
15325,1.46,"Holbourn"
15332,1.28,"Holbourn"
15336,1.42,"Holbourn"
15339,1.37,"Holbourn"
15343,1.39,"Holbourn"
15346,1.6,"Holbourn"
15350,1.45,"Holbourn"
15353,1.3,"Holbourn"
15357,1.47,"Holbourn"
15360,1.61,"Holbourn"
15364,1.46,"Holbourn"
15367,1.13,"Holbourn"
15371,1.36,"Holbourn"
15374,1.57,"Holbourn"
15378,1.52,"Holbourn"
15381,1.49,"Holbourn"
15385,1.52,"Holbourn"
15388,1.62,"Holbourn"
15392,1.37,"Holbourn"
15395,1.35,"Holbourn"
15399,1.52,"Holbourn"
15402,1.05,"Holbourn"
15405,1.26,"Holbourn"
15408,1.63,"Holbourn"
15411,1.47,"Holbourn"
15412,1.653,"Holbourn"
15415,1.701,"Holbourn"
15418,1.642,"Holbourn"
15433,1.521,"Holbourn"
15436,1.654,"Holbourn"
15439,1.61,"Holbourn"
15442,1.665,"Holbourn"
15445,1.733,"Holbourn"
15448,1.713,"Holbourn"
15451,1.555,"Holbourn"
15454,1.723,"Holbourn"
15457,1.572,"Holbourn"
15460,1.406,"Holbourn"
15462,1.323,"Holbourn"
15465,1.332,"Holbourn"
15468,1.616,"Holbourn"
15471,1.477,"Holbourn"
15474,1.502,"Holbourn"
15477,1.407,"Holbourn"
15481,1.684,"Holbourn"
15485,1.465,"Holbourn"
15489,1.063,"Holbourn"
15493,1.015,"Holbourn"
15496,1.527,"Holbourn"
15501,1.396,"Holbourn"
15506,1.504,"Holbourn"
15510,1.548,"Holbourn"
15514,1.307,"Holbourn"
15518,1.431,"Holbourn"
15522,1.37,"Holbourn"
15526,1.482,"Holbourn"
15530,1.569,"Holbourn"
15535,1.492,"Holbourn"
15539,1.571,"Holbourn"
15543,1.494,"Holbourn"
15547,1.445,"Holbourn"
15549,1.329,"Holbourn"
15553,1.426,"Holbourn"
15557,1.246,"Holbourn"
15562,1.136,"Holbourn"
15566,0.725,"Holbourn"
15570,0.707,"Holbourn"
15572,0.8,"Holbourn"
15575,1.242,"Holbourn"
15578,0.861,"Holbourn"
15581,0.763,"Holbourn"
15584,0.606,"Holbourn"
15587,1.135,"Holbourn"
15590,0.956,"Holbourn"
15593,0.664,"Holbourn"
15597,0.538,"Holbourn"
15598,1.12,"Holbourn"
15603,0.82,"Holbourn"
15608,0.97,"Holbourn"
15613,1.25,"Holbourn"
15617,1.48,"Holbourn"
15622,1.3,"Holbourn"
15627,1.27,"Holbourn"
15632,1.41,"Holbourn"
15637,1.59,"Holbourn"
15642,1.59,"Holbourn"
15647,1.45,"Holbourn"
15652,1.17,"Holbourn"
15657,1.39,"Holbourn"
15661,1.38,"Holbourn"
15666,1.13,"Holbourn"
15671,1.16,"Holbourn"
15676,1.2,"Holbourn"
15681,1.37,"Holbourn"
15686,1.34,"Holbourn"
15691,1.19,"Holbourn"
15696,1.39,"Holbourn"
15700,1.41,"Holbourn"
15705,1.25,"Holbourn"
15710,1.11,"Holbourn"
15715,1.6,"Holbourn"
15720,1.31,"Holbourn"
15726,1.32,"Holbourn"
15733,1.61,"Holbourn"
15740,1.62,"Holbourn"
15747,1.48,"Holbourn"
15753,1.47,"Holbourn"
15760,1.63,"Holbourn"
