"depth","age","d13c","d18o","auth"
304.55,13456,0.951,1.67,"Tian"
304.63,13460.1,1.214,1.998,"Tian"
304.69,13463.2,0.908,1.965,"Tian"
304.77,13467.3,1.134,2.297,"Tian"
304.85,13471.4,0.91,1.898,"Tian"
304.93,13475.5,0.975,1.997,"Tian"
305.01,13479.6,1.186,1.864,"Tian"
305.17,13487.8,1.02,1.668,"Tian"
305.25,13491.9,1.24,1.839,"Tian"
305.33,13495.9,1.088,1.631,"Tian"
305.41,13498.3,1.179,1.85,"Tian"
305.49,13500.7,0.889,1.654,"Tian"
305.57,13503.1,1.192,2.16,"Tian"
305.65,13505.4,1.077,2.003,"Tian"
305.73,13507.8,1.056,2.034,"Tian"
305.81,13510.2,0.965,2.054,"Tian"
305.89,13512.6,1.163,2.276,"Tian"
305.97,13515,1.169,2.097,"Tian"
306.05,13517.4,1.006,2.025,"Tian"
306.13,13519.7,1.031,2.058,"Tian"
306.19,13521.5,1.103,2.113,"Tian"
306.27,13523.9,1.148,2.129,"Tian"
306.35,13526.3,1.339,2.422,"Tian"
306.43,13528.7,1.219,2.139,"Tian"
306.51,13531.1,1.065,2.087,"Tian"
306.59,13533.4,0.994,2.078,"Tian"
306.75,13538.2,1.069,1.684,"Tian"
306.83,13541.6,1.379,2.073,"Tian"
306.91,13545.1,0.886,1.762,"Tian"
306.99,13548.6,0.943,1.765,"Tian"
307.07,13552.1,1.078,2.092,"Tian"
307.15,13555.6,1.224,2.142,"Tian"
307.23,13559.1,1.113,2.059,"Tian"
307.31,13562.7,1.241,2.041,"Tian"
307.39,13566.2,1.112,1.822,"Tian"
307.47,13569.7,1.221,2.079,"Tian"
307.52,13571.9,1.151,1.892,"Tian"
307.55,13573.2,1.162,1.903,"Tian"
307.6,13575.4,1.043,1.974,"Tian"
307.63,13576.7,0.929,1.843,"Tian"
307.68,13578.9,1.087,1.965,"Tian"
307.69,13579.3,0.813,1.849,"Tian"
307.76,13582.3,0.981,1.697,"Tian"
307.77,13582.6,1.042,2.068,"Tian"
307.84,13585,0.897,1.75,"Tian"
307.85,13585.3,1.192,2.175,"Tian"
307.92,13587.7,1.264,2.248,"Tian"
307.93,13588,1.191,2.252,"Tian"
308,13590.4,1.305,2.178,"Tian"
308.01,13590.7,1.182,2.217,"Tian"
308.09,13593.4,1.182,2.166,"Tian"
308.09,13593.4,1.246,2.14,"Tian"
308.17,13596.1,1.226,2.06,"Tian"
308.17,13596.1,1.27,2.003,"Tian"
308.25,13598.8,1.206,1.944,"Tian"
308.25,13598.8,0.863,2.297,"Tian"
308.33,13601.5,1.024,1.973,"Tian"
308.33,13601.5,1.33,2.182,"Tian"
308.41,13604.2,1.194,2.084,"Tian"
308.41,13604.2,0.908,1.846,"Tian"
308.49,13606.9,1.271,1.864,"Tian"
308.49,13606.9,0.909,1.916,"Tian"
308.57,13609.6,0.778,1.951,"Tian"
308.57,13609.6,1.116,1.988,"Tian"
308.65,13612.3,0.89,1.79,"Tian"
308.65,13612.3,0.979,1.893,"Tian"
308.73,13615,0.875,1.883,"Tian"
308.81,13617.7,0.991,1.821,"Tian"
308.89,13620.4,0.935,1.73,"Tian"
308.97,13623,0.947,1.73,"Tian"
309.05,13625.7,0.783,1.793,"Tian"
309.13,13628.3,0.86,1.781,"Tian"
309.21,13630.9,0.944,1.896,"Tian"
309.29,13633.6,0.971,1.924,"Tian"
309.37,13636.2,0.945,2.011,"Tian"
309.45,13638.8,0.872,1.998,"Tian"
309.53,13641.5,1.094,2.016,"Tian"
309.59,13643.4,1.022,2.008,"Tian"
309.67,13646.1,0.891,1.725,"Tian"
309.75,13648.7,1.205,1.69,"Tian"
309.83,13651.3,1.12,1.647,"Tian"
309.91,13654,1.052,1.861,"Tian"
309.99,13656.6,0.749,1.524,"Tian"
310.07,13659.1,0.56,1.504,"Tian"
310.15,13660.8,0.907,1.838,"Tian"
310.23,13662.6,1.233,2.035,"Tian"
310.31,13664.3,1.328,2.302,"Tian"
310.39,13666.1,1.304,2.141,"Tian"
310.47,13667.9,1.278,1.943,"Tian"
310.55,13669.6,1.453,1.972,"Tian"
310.63,13671.4,1.751,2.214,"Tian"
310.71,13673.2,1.505,2.144,"Tian"
310.79,13674.9,1.4,2.157,"Tian"
310.87,13676.7,1.335,2.131,"Tian"
310.95,13678.5,1.434,2.02,"Tian"
311.11,13682,1.34,2.165,"Tian"
311.19,13683.8,1.233,2.053,"Tian"
311.27,13685.5,1.338,2.044,"Tian"
311.35,13687.3,1.288,2.02,"Tian"
311.43,13689.1,1.108,1.773,"Tian"
311.51,13690.8,1.296,1.954,"Tian"
311.59,13692.6,1.431,2.178,"Tian"
311.67,13694.4,1.402,2.122,"Tian"
311.75,13696.1,1.233,1.894,"Tian"
311.83,13697.9,1.229,1.789,"Tian"
311.91,13699.6,1.273,1.928,"Tian"
312.01,13701.9,1.255,1.84,"Tian"
312.09,13703.6,1.297,1.758,"Tian"
312.17,13705.7,1.152,1.881,"Tian"
312.25,13707.8,1.506,1.837,"Tian"
312.33,13709.9,1.674,2.261,"Tian"
312.41,13712,1.705,2.213,"Tian"
312.49,13714.1,1.461,2.173,"Tian"
312.57,13716.2,1.671,2.209,"Tian"
312.65,13718.3,1.683,2.265,"Tian"
312.73,13720.4,1.59,2.176,"Tian"
312.81,13722.5,1.65,2.128,"Tian"
312.89,13724.6,1.73,2.186,"Tian"
313.05,13728.8,1.571,2.058,"Tian"
313.13,13730.9,1.685,2.063,"Tian"
313.21,13732.9,1.175,2.192,"Tian"
313.29,13735,1.585,1.925,"Tian"
313.37,13737.1,1.634,2.075,"Tian"
313.45,13739.2,1.624,1.908,"Tian"
313.51,13740.8,1.738,1.939,"Tian"
313.59,13742.9,1.74,2.009,"Tian"
313.67,13745,1.49,1.9,"Tian"
313.83,13749.9,1.596,2.052,"Tian"
313.91,13752.3,1.608,1.963,"Tian"
314.07,13757.2,1.665,1.98,"Tian"
314.15,13759.6,1.723,2.087,"Tian"
314.23,13762.1,1.496,2.217,"Tian"
314.31,13764.5,1.848,2.06,"Tian"
314.39,13767,1.76,2.109,"Tian"
314.47,13769.4,1.641,2.218,"Tian"
314.63,13774.3,1.741,2.145,"Tian"
314.71,13776.7,1.561,2.137,"Tian"
314.87,13781.6,1.588,2.172,"Tian"
314.95,13784,1.748,2.087,"Tian"
315.01,13785.8,1.638,2.103,"Tian"
315.09,13788.3,1.774,2.01,"Tian"
315.17,13791.2,1.473,1.966,"Tian"
315.25,13795.4,1.739,2.213,"Tian"
315.41,13803.7,1.714,2.137,"Tian"
315.49,13807.8,1.719,2.084,"Tian"
315.65,13816.1,1.423,2.071,"Tian"
315.73,13820.2,1.364,1.975,"Tian"
315.81,13824.4,1.396,2.032,"Tian"
315.86,13826.7,1.466,1.975,"Tian"
315.89,13827.9,1.499,2.117,"Tian"
315.94,13829.7,1.541,2.054,"Tian"
316.02,13832.8,1.503,2.11,"Tian"
316.1,13835.8,1.469,2.173,"Tian"
316.26,13841.8,1.403,2.061,"Tian"
316.34,13844.8,1.263,1.983,"Tian"
316.45,13848.9,1.507,1.99,"Tian"
316.53,13851.9,1.446,1.83,"Tian"
316.61,13855,1.523,2.003,"Tian"
316.69,13858,1.432,1.994,"Tian"
316.77,13861,1.385,1.945,"Tian"
316.85,13864,1.236,1.84,"Tian"
316.93,13867,1.199,1.602,"Tian"
